season,team_abbr,gsis_id,reference_basis,source_as_of
2016,ARI,00-0021429,week_1_proxy,
2016,ATL,00-0026143,week_1_proxy,
2016,BAL,00-0026158,week_1_proxy,
2016,BUF,00-0028118,week_1_proxy,
2016,CAR,00-0027939,week_1_proxy,
2016,CHI,00-0024226,week_1_proxy,
2016,CIN,00-0027973,week_1_proxy,
2016,CLE,00-0029665,week_1_proxy,
2016,DAL,00-0033077,week_1_proxy,
2016,DEN,00-0032156,week_1_proxy,
2016,DET,00-0026498,week_1_proxy,
2016,GB,00-0023459,week_1_proxy,
2016,HOU,00-0029682,week_1_proxy,
2016,IND,00-0029668,week_1_proxy,
2016,JAX,00-0031407,week_1_proxy,
2016,KC,00-0023436,week_1_proxy,
2016,LA,00-0028986,week_1_proxy,
2016,LAC,00-0022942,week_1_proxy,
2016,LV,00-0031280,week_1_proxy,
2016,MIA,00-0029701,week_1_proxy,
2016,MIN,00-0020679,week_1_proxy,
2016,NE,00-0031345,week_1_proxy,
2016,NO,00-0020531,week_1_proxy,
2016,NYG,00-0022803,week_1_proxy,
2016,NYJ,00-0023682,week_1_proxy,
2016,PHI,00-0032950,week_1_proxy,
2016,PIT,00-0022924,week_1_proxy,
2016,SEA,00-0029263,week_1_proxy,
2016,SF,00-0027974,week_1_proxy,
2016,TB,00-0031503,week_1_proxy,
2016,TEN,00-0032268,week_1_proxy,
2016,WAS,00-0029604,week_1_proxy,
2017,ARI,00-0021429,week_1_proxy,
2017,ATL,00-0026143,week_1_proxy,
2017,BAL,00-0026158,week_1_proxy,
2017,BUF,00-0028118,week_1_proxy,
2017,CAR,00-0027939,week_1_proxy,
2017,CHI,00-0030520,week_1_proxy,
2017,CIN,00-0027973,week_1_proxy,
2017,CLE,00-0033899,week_1_proxy,
2017,DAL,00-0033077,week_1_proxy,
2017,DEN,00-0032156,week_1_proxy,
2017,DET,00-0026498,week_1_proxy,
2017,GB,00-0023459,week_1_proxy,
2017,HOU,00-0031064,week_1_proxy,
2017,IND,00-0028595,week_1_proxy,
2017,JAX,00-0031407,week_1_proxy,
2017,KC,00-0023436,week_1_proxy,
2017,LA,00-0033106,week_1_proxy,
2017,LAC,00-0022942,week_1_proxy,
2017,LV,00-0031280,week_1_proxy,
2017,MIN,00-0027854,week_1_proxy,
2017,NE,00-0019596,week_1_proxy,
2017,NO,00-0020531,week_1_proxy,
2017,NYG,00-0022803,week_1_proxy,
2017,NYJ,00-0021206,week_1_proxy,
2017,PHI,00-0032950,week_1_proxy,
2017,PIT,00-0022924,week_1_proxy,
2017,SEA,00-0029263,week_1_proxy,
2017,SF,00-0026625,week_1_proxy,
2017,TEN,00-0032268,week_1_proxy,
2017,WAS,00-0029604,week_1_proxy,
2018,ARI,00-0027854,week_1_proxy,
2018,ATL,00-0026143,week_1_proxy,
2018,BAL,00-0026158,week_1_proxy,
2018,BUF,00-0033958,week_1_proxy,
2018,CAR,00-0027939,week_1_proxy,
2018,CHI,00-0033869,week_1_proxy,
2018,CIN,00-0027973,week_1_proxy,
2018,CLE,00-0028118,week_1_proxy,
2018,DAL,00-0033077,week_1_proxy,
2018,DEN,00-0028986,week_1_proxy,
2018,DET,00-0026498,week_1_proxy,
2018,GB,00-0023459,week_1_proxy,
